***** Interaction Log File *****
Date and time: 8/21/2018 12:43:51 AM
Condition: Haptics
t = 2.420171, 2.420171, Start Task 1
=============================================
t = 3.599837, Touch Down, x = 0.9952418, y = -4.113667
t = 13.69287, Touch Move counter-clockwise left, x = 1.526038, y = 2.488106
t = 13.71242, Touch Move counter-clockwise left, x = 1.426514, y = 2.454931
t = 13.73873, Touch Move counter-clockwise left, x = 1.326989, y = 2.421756
t = 13.75955, Touch Move counter-clockwise left, x = 1.26064, y = 2.421756
t = 13.77621, Touch Move clockwise left, x = 1.26064, y = 2.388582
t = 13.79276, Touch Move counter-clockwise left, x = 1.19429, y = 2.388582
t = 13.81014, Touch Move clockwise left, x = 1.19429, y = 2.355406
t = 14.19573, Touch Move counter-clockwise left, x = -1.028417, y = 2.488106
t = 14.21568, Touch Move counter-clockwise left, x = -1.227465, y = 2.554455
t = 14.23592, Touch Move counter-clockwise left, x = -1.526038, y = 2.58763
t = 14.25257, Touch Move counter-clockwise left, x = -1.691912, y = 2.58763
t = 14.27263, Touch Move counter-clockwise left, x = -1.89096, y = 2.58763
t = 14.29127, Touch Move counter-clockwise left, x = -2.056834, y = 2.620805
t = 14.30825, Touch Move counter-clockwise left, x = -2.255882, y = 2.58763
t = 14.32482, Touch Move counter-clockwise left, x = -2.421756, y = 2.58763
t = 14.34138, Touch Move counter-clockwise left, x = -2.58763, y = 2.554455
t = 14.35795, Touch Move counter-clockwise left, x = -2.720328, y = 2.52128
t = 14.37574, Touch Move counter-clockwise left, x = -2.853028, y = 2.488106
t = 14.3924, Touch Move counter-clockwise left, x = -2.886202, y = 2.488106
t = 14.40895, Touch Move counter-clockwise left, x = -2.952552, y = 2.421756
t = 14.42599, Touch Move counter-clockwise left, x = -3.018901, y = 2.355406
t = 14.44204, Touch Move counter-clockwise left, x = -3.052076, y = 2.322232
t = 14.45857, Touch Move clockwise left, x = -3.052076, y = 2.222707
t = 14.77402, Touch Move clockwise left, x = -1.658737, y = 2.388582
t = 14.80241, Touch Move clockwise left, x = -1.161116, y = 2.687154
t = 14.9305, Touch Move clockwise left, x = 1.492863, y = 2.919377
t = 14.95434, Touch Move clockwise left, x = 2.090008, y = 2.819853
t = 14.97782, Touch Move clockwise left, x = 2.720329, y = 2.720329
t = 15.00369, Touch Move clockwise left, x = 3.284299, y = 2.620805
t = 15.02225, Touch Move clockwise left, x = 3.649221, y = 2.58763
t = 15.04059, Touch Move clockwise left, x = 3.980969, y = 2.554455
t = 15.05779, Touch Move clockwise left, x = 4.312716, y = 2.454931
t = 15.07987, Touch Move clockwise up, x = 4.644464, y = 2.322232
t = 15.1029, Touch Move clockwise up, x = 4.777163, y = 2.222707
t = 15.11947, Touch Move clockwise up, x = 4.909862, y = 2.156358
t = 15.13614, Touch Move clockwise up, x = 5.04256, y = 2.056834
t = 15.15292, Touch Move clockwise up, x = 5.10891, y = 1.924135
t = 15.16965, Touch Move clockwise up, x = 5.175259, y = 1.824611
t = 15.18654, Touch Move clockwise up, x = 5.208434, y = 1.691911
t = 15.20402, Touch Move clockwise up, x = 5.241609, y = 1.625562
t = 15.22145, Touch Move clockwise up, x = 5.241609, y = 1.492863
t = 15.23892, Touch Move clockwise up, x = 5.208434, y = 1.360164
t = 15.25551, Touch Move clockwise up, x = 5.175259, y = 1.194291
t = 15.27267, Touch Move clockwise up, x = 5.175259, y = 1.094767
t = 15.28929, Touch Move clockwise up, x = 5.142085, y = 1.028417
t = 15.30973, Touch Move clockwise up, x = 5.04256, y = 0.8293684
t = 15.32642, Touch Move clockwise up, x = 5.009386, y = 0.7961936
t = 15.34493, Touch Move clockwise up, x = 4.909862, y = 0.6303201
t = 15.36149, Touch Move clockwise up, x = 4.843512, y = 0.5971454
t = 15.3791, Touch Move clockwise up, x = 4.677638, y = 0.4976213
t = 15.39567, Touch Move clockwise up, x = 4.644464, y = 0.4312719
t = 15.41265, Touch Move clockwise up, x = 4.511764, y = 0.3980971
t = 15.64443, Touch Move clockwise right, x = 2.255882, y = -0.2985727
t = 15.67471, Touch Move clockwise right, x = 1.791436, y = -0.4312715
t = 15.71649, Touch Move clockwise right, x = 1.127941, y = -0.6303201
t = 15.77078, Touch Move clockwise right, x = 0.4312713, y = -0.7961936
t = 15.80183, Touch End, x = 0.4312713, y = -0.7961936
t = 16.55241, Touch Down, x = 6.270026, y = -3.914619
t = 16.70156, Touch End, x = 5.971453, y = -4.014143
t = 17.51619, 17.51619, Start Task 3
=============================================
t = 18.24854, Touch Down, x = 0.3649221, y = -2.322232
t = 18.45386, Clicked Circuit 2
t = 18.45386, Touch End, x = 0, y = 0
t = 19.37356, Touch Down, x = -2.853028, y = -2.421756
t = 19.69061, Clicked Circuit 1
t = 19.69061, Touch End, x = -2.985726, y = -2.421756
t = 20.95372, Touch Down, x = 0.8625435, y = -2.156358
t = 21.11568, Clicked Circuit 2
t = 21.11568, Touch End, x = 0.6634951, y = -2.156358
t = 21.52673, Touch Down, x = -2.189533, y = -2.52128
t = 21.67616, Clicked Circuit 1
t = 21.67616, Touch End, x = 0.6634951, y = -2.156358
t = 22.2928, Touch Down, x = -2.123183, y = -1.227466
t = 22.37556, Touch Move counter-clockwise right, x = -1.824611, y = -1.161116
t = 22.39252, Touch Move counter-clockwise right, x = -1.26064, y = -0.9952422
t = 22.41095, Touch Move counter-clockwise right, x = -0.8957181, y = -0.895718
t = 22.42752, Touch Move counter-clockwise right, x = -0.5307959, y = -0.8293684
t = 22.44622, Touch Move counter-clockwise right, x = -0.1326988, y = -0.7630189
t = 22.4642, Touch Move counter-clockwise right, x = 0.3317476, y = -0.6966695
t = 22.48076, Touch Move counter-clockwise right, x = 0.7630189, y = -0.6634948
t = 22.49733, Touch Move counter-clockwise right, x = 1.227466, y = -0.5971454
t = 22.51874, Touch Move counter-clockwise right, x = 1.691912, y = -0.5639707
t = 22.53542, Touch Move counter-clockwise right, x = 2.123184, y = -0.4976209
t = 22.55402, Touch Move counter-clockwise right, x = 2.554455, y = -0.4976209
t = 22.5706, Touch Move counter-clockwise right, x = 2.919377, y = -0.4312715
t = 22.58716, Touch Move counter-clockwise right, x = 3.317474, y = -0.4312715
t = 22.60373, Touch Move counter-clockwise right, x = 3.649221, y = -0.3649221
t = 22.62036, Touch Move counter-clockwise right, x = 3.914619, y = -0.3649221
t = 22.63692, Touch Move counter-clockwise right, x = 4.047318, y = -0.3649221
t = 22.65349, Touch Move counter-clockwise right, x = 4.113667, y = -0.3317474
t = 22.67028, Touch Move counter-clockwise right, x = 4.146842, y = -0.3317474
t = 22.68688, Touch Move counter-clockwise right, x = 4.180017, y = -0.3317474
t = 22.72002, Touch Move clockwise right, x = 4.146842, y = -0.3317474
t = 22.73658, Touch Move clockwise right, x = 3.715571, y = -0.3317474
t = 22.75315, Touch Move clockwise right, x = 3.118426, y = -0.2985727
t = 22.77007, Touch Move clockwise right, x = 2.421756, y = -0.2985727
t = 22.78666, Touch Move clockwise right, x = 1.725086, y = -0.2985727
t = 22.80346, Touch Move clockwise right, x = 1.061592, y = -0.265398
t = 22.82165, Touch Move clockwise right, x = 0.3980967, y = -0.265398
t = 22.83978, Touch Move clockwise right, x = -0.1658738, y = -0.265398
t = 22.85634, Touch Move clockwise right, x = -0.6966697, y = -0.2985727
t = 22.87492, Touch Move clockwise right, x = -1.194291, y = -0.3317474
t = 22.89189, Touch Move clockwise right, x = -1.559213, y = -0.3649221
t = 22.90846, Touch Move clockwise right, x = -1.725087, y = -0.3649221
t = 22.92504, Touch Move clockwise right, x = -1.990484, y = -0.3980968
t = 22.9416, Touch Move clockwise right, x = -2.189533, y = -0.3980968
t = 22.95881, Touch Move clockwise right, x = -2.289057, y = -0.3980968
t = 22.97537, Touch Move clockwise right, x = -2.355407, y = -0.3980968
t = 23.04164, Touch Move counter-clockwise right, x = -1.791436, y = -0.3649221
t = 23.05821, Touch Move counter-clockwise right, x = -1.161116, y = -0.2985727
t = 23.0764, Touch Move counter-clockwise right, x = -0.09952419, y = -0.2985727
t = 23.09953, Touch Move counter-clockwise right, x = 0.6966697, y = -0.2985727
t = 23.11649, Touch Move counter-clockwise right, x = 1.526038, y = -0.3317474
t = 23.13266, Touch Move counter-clockwise right, x = 2.322232, y = -0.3317474
t = 23.14958, Touch Move counter-clockwise right, x = 3.118426, y = -0.2985727
t = 23.1658, Touch Move counter-clockwise right, x = 3.84827, y = -0.265398
t = 23.2155, Touch Move counter-clockwise up, x = 4.909862, y = -0.1326988
t = 23.23207, Touch Move counter-clockwise up, x = 5.075735, y = -0.09952412
t = 23.26126, Touch Move counter-clockwise up, x = 5.175259, y = -0.06634942
t = 23.3854, Touch Move clockwise right, x = 1.393339, y = -0.4312715
t = 23.41173, Touch Move clockwise right, x = -0.1326988, y = -0.6966695
t = 23.43377, Touch Move clockwise right, x = -0.5639705, y = -0.6966695
t = 23.47474, Touch Move clockwise right, x = -1.061592, y = -0.6966695
t = 23.50194, Touch End, x = -1.061592, y = -0.6966695
t = 23.77226, Touch Down, x = 1.625562, y = -4.279541
t = 23.85507, Touch End, x = -1.061592, y = -0.6966695
t = 24.36436, Touch Down, x = 0.4644468, y = -4.279541
t = 24.51211, Show Hint
t = 24.51211, Touch End, x = -1.061592, y = -0.6966695
t = 24.99159, Touch Down, x = 0.7630189, y = -4.41224
t = 25.12725, Hide Hint
t = 25.12725, Touch End, x = -1.061592, y = -0.6966695
t = 25.66178, Touch Down, x = 5.507007, y = -4.213192
t = 25.77798, Touch End, x = -1.061592, y = -0.6966695
t = 26.47748, 26.47748, Start Task 4
=============================================
t = 27.07753, Touch Down, x = 0.7298443, y = -3.815095
t = 27.17679, Show Hint
t = 27.17679, Touch End, x = 0, y = 0
t = 27.79579, Touch Down, x = 0.3980967, y = -4.445415
t = 27.9587, Hide Hint
t = 27.9587, Touch End, x = 0, y = 0
t = 28.50221, Touch Down, x = 3.450173, y = -2.189533
t = 28.70116, Clicked Circuit 3
t = 28.70116, Touch End, x = 0, y = 0
t = 29.28832, Touch Down, x = 1.061592, y = -2.421756
t = 29.50501, Clicked Circuit 2
t = 29.50501, Touch End, x = 0.8957181, y = -2.488105
t = 30.04379, Touch Down, x = -2.289057, y = -2.488105
t = 30.22596, Clicked Circuit 1
t = 30.22596, Touch End, x = -2.454931, y = -2.488105
t = 30.87162, Touch Down, x = 3.649221, y = -3.980969
t = 31.07189, Touch End, x = -2.454931, y = -2.488105
t = 33.1327, 33.1327, Start Task 4
=============================================
