***** Interaction Log File *****
Date and time: 8/21/2018 12:33:03 AM
Condition: Haptics
3.62919, Start Task 1
t = 11.59682, Touch End, x = 4.246367, y = -1.227466
t = 12.41672, Touch Down, x = 2.123184, y = -0.7961936
t = 12.46622, Touch Move counter-clockwiseright, x = 2.521281, y = -0.7630189
t = 12.50116, Touch Move counter-clockwiseright, x = 3.450173, y = -0.7630189
t = 12.54061, Touch Move counter-clockwiseright, x = 3.980969, y = -0.7961936
t = 12.57742, Touch Move counter-clockwiseright, x = 4.345891, y = -0.8293684
t = 12.61599, Touch Move counter-clockwiseright, x = 4.777163, y = -0.7630189
t = 12.66282, Touch Move counter-clockwiseright, x = 5.208434, y = -0.4312715
t = 12.70331, Touch Move counter-clockwiseup, x = 5.473832, y = 0.03317471
t = 12.8353, Touch Move counter-clockwiseup, x = 5.540181, y = 1.924135
t = 12.8935, Touch Move counter-clockwiseup, x = 5.440657, y = 2.322232
t = 12.94344, Touch Move counter-clockwiseup, x = 5.175259, y = 2.620805
t = 12.98437, Touch Move counter-clockwiseup, x = 4.909862, y = 2.720329
t = 13.05638, Touch Move counter-clockwiseleft, x = 4.180017, y = 2.819853
t = 13.15638, Touch Move counter-clockwiseleft, x = 3.184775, y = 2.786678
t = 13.17912, Touch Move counter-clockwiseleft, x = 2.919377, y = 2.753503
t = 13.19614, Touch Move counter-clockwiseleft, x = 2.786678, y = 2.753503
t = 13.21417, Touch Move counter-clockwiseleft, x = 2.653979, y = 2.753503
t = 13.23074, Touch Move counter-clockwiseleft, x = 2.521281, y = 2.753503
t = 13.24808, Touch Move counter-clockwiseleft, x = 2.388581, y = 2.753503
t = 13.26511, Touch Move counter-clockwiseleft, x = 2.289057, y = 2.753503
t = 13.29009, Touch Move counter-clockwiseleft, x = 2.123184, y = 2.786678
t = 13.30666, Touch Move counter-clockwiseleft, x = 2.023659, y = 2.786678
t = 13.32348, Touch Move counter-clockwiseleft, x = 1.990484, y = 2.786678
t = 13.33979, Touch Move counter-clockwiseleft, x = 1.924134, y = 2.819853
t = 13.35657, Touch Move counter-clockwiseleft, x = 1.857785, y = 2.819853
t = 13.37293, Touch Move counter-clockwiseleft, x = 1.791436, y = 2.819853
t = 13.38966, Touch Move counter-clockwiseleft, x = 1.725086, y = 2.819853
t = 13.4062, Touch End, x = 1.725086, y = 2.819853
t = 15.39503, Touch Down, x = 1.26064, y = -3.748745
t = 15.47766, Touch End, x = 1.725086, y = 2.819853
