***** Interaction Log File *****
Date and time: 8/21/2018 8:59:16 AM
Condition: Haptics
t = 1.403993, Start Question 1
=============================================
t = 3.450498, Start Task 1
=============================================
t = 21.71546, Touch Move clockwise up, x = 4.843512, y = 2.123183
t = 21.73203, Touch Move clockwise up, x = 4.909862, y = 2.023659
t = 21.74938, Touch Move clockwise up, x = 4.976211, y = 1.758261
t = 21.76516, Touch Move clockwise up, x = 4.976211, y = 1.526038
t = 21.78193, Touch Move clockwise up, x = 4.976211, y = 1.26064
t = 21.79829, Touch Move clockwise up, x = 4.976211, y = 0.9952419
t = 21.81503, Touch Move clockwise up, x = 4.943036, y = 0.7298442
t = 21.83143, Touch Move clockwise up, x = 4.943036, y = 0.6303201
t = 21.84799, Touch Move clockwise up, x = 4.909862, y = 0.4644465
t = 21.86518, Touch Move clockwise up, x = 4.909862, y = 0.2985724
t = 21.88158, Touch Move clockwise up, x = 4.909862, y = 0.09952412
t = 21.89813, Touch Move clockwise up, x = 4.876686, y = -0.03317471
t = 21.91426, Touch Move clockwise up, x = 4.843512, y = -0.1326988
t = 21.93089, Touch End, x = 4.843512, y = -0.1326988
t = 22.70526, Touch Down, x = -2.255882, y = -1.360164
t = 22.75496, Touch Move counter-clockwise right, x = -2.056834, y = -1.32699
t = 22.77153, Touch Move counter-clockwise right, x = -1.691912, y = -1.194291
t = 22.79206, Touch Move counter-clockwise right, x = -1.426514, y = -1.094766
t = 22.80863, Touch Move counter-clockwise right, x = -1.127941, y = -0.9620675
t = 22.82519, Touch Move counter-clockwise right, x = -0.7630189, y = -0.8625433
t = 22.8419, Touch Move counter-clockwise right, x = -0.3649221, y = -0.7630189
t = 22.85833, Touch Move counter-clockwise right, x = 0.1326992, y = -0.7298442
t = 22.87489, Touch Move counter-clockwise right, x = 0.6634951, y = -0.6966695
t = 22.89146, Touch Move counter-clockwise right, x = 0.8957181, y = -0.6634948
t = 22.90803, Touch Move counter-clockwise right, x = 1.326989, y = -0.6634948
